IUCA,Texto Consulta Usuario
110,"Si soy responsable inscripto en iva, ¿cuánto tiempo debo esperar para poder volver a ser monotributista?"
9,¿Puedo computar el crédito fiscal siendo Monotributista y luego tomarlo si me paso a Responsable Inscripto?
9,¿Se computa el crédito fiscal al pasar de monotributista a responsable inscripto?
9,¿Se puede computar el crédito fiscal si ya no soy monotributista sino responsable inscripto?
9,"Si ahora soy responsable inscripto habiendo sido monotributista, ¿es posible computar el crédito fiscal?"
9,Si paso de Monotributista a Responsable Inscripto ¿Puedo tomar el crédito fiscal?
108,¿Cómo se cuentan las actividades y unidades de explotación?
108,¿Quedo excluído del monotributo si poseo más de tres actividades?
108,"Si soy monotributista, tengo un local y deseo abrir otro en el que voy a realizar 3 actividades ¿Puedo seguir siendo monotributista o quedo excluido por tener más de 3 actividades?"
113,Ceder un inmueble a precio indeterminado ¿Se considera actividad para tener que inscribirme en el Monotributo?
113,Si cedo un inmueble a un precio no determinado ¿Puedo adherir al monotributo por el valor locativo al que refiere el Impuesto a las Ganancias?
113,"Siendo propietario y cediendo un inmueble, ¿puedo ser monotributista por el valor de alquiler a que se refiere el impuesto a las ganancias?"
40,¿Existe un Monotributista que también esté exento en IVA?
40,¿Puedo ser Monotributista y a su vez ser sujeto IVA exento?
40,¿Se puede tener un monotributo y ser IVA exento a la vez?
40,¿Un monotributista puede ser además IVA exento?
40,"Si quiero realizar una actividad IVA exento, ¿es necesario que no sea monotributista?"
40,Un sujeto IVA exento ¿Puede ser Monotributista?
100,¿Es posible para una persona adherida al Monotributo por una actividad que realice otra actividad bajo la condición de responsable inscripto?
100,¿Está permitido para una persona adherida al Monotributo por una actividad llevar a cabo otra actividad bajo la condición de responsable inscripto?
100,¿Puede una persona adherida al Monotributo por una actividad llevar a cabo otra actividad bajo la condición de responsable inscripto?
100,"En el caso de una persona adherida al Monotributo por una actividad, ¿Puede realizar otra actividad bajo la condición de responsable inscripto?"
100,"Si se tiene el caso de una persona adherida al Monotributo por una actividad, ¿Está permitido que realice otra actividad bajo la condición de responsable inscripto?"
100,Soy Responsable Inscripto ¿Me puedo dar de alta en el Monotributo?
98,"¿Es posible  que un extranjero, que lleva a cabo una actividad en Argentina, pueda inscribirse como monotributista por medio de su apoderado?"
98,¿Puedo ser extranjero y Monotributista?
98,¿Qué pasa si me quiero inscribir en el Monotributo pero soy extranjero?
98,"Un extranjero que desarrolla una actividad en Argentina, ¿Se puede inscribirse como monotributista a través de su apoderado?"
98,"Un sujeto residente en el exterior con actividad en nuestro país, ¿Se permite que su apoderado lo inscriba como monotributista?"
98,"Una persona extranjera que realiza una actividad en nuestro país, ¿puede inscribirse como monotributista a través de su apoderado?"
111,"¿Cuántos meses deben pasar desde que me inscribí en el Monotributo para anualizar los ingresos?"
111,"¿Qué pasa si al cabo de unos pocos meses en el Monotributo me excedo en el importe máximo de la última categoría?"
111,"Si soy monotributista y al anualizar mis ingresos supero el máximo de la última categoría ¿Debo pasar a ser responsable inscripto en IVA?"
25,"¿Cómo son los aportes que debo pagar en caso de ser monotributista por una actividad y a su vez ejerzo la dirección, administración o conducción de una sociedad que no es monotributista?"
25,¿Cómo tengo que hacer si soy monotributista y a la vez administro una sociedad que no está adherida al régimen simplificado?
25,"¿Es el mismo aporte el que realizo si soy monotributista por una actividad y el que realizo por ejercer la dirección, administración o conducción de una sociedad que no es monotributista?"
25,¿Qué tendría que hacer si estoy también dirigiendo una sociedad que no está adherida al monotributo?
25,"En el caso de ejercer también una administración de una sociedad no inscripta al régimen simplificado, ¿qué debo hacer?"
77,¿En qué momento se empieza a pagar el importe de la nueva categoría para las personas recategorizadas?
77,¿En qué tiempo se comienza a pagar el importe de la nueva categoría para las personas recategorizadas?
77,Luego de la recategorización ¿Desde cuándo pago el importe de la nueva categoría?
77,Si me recategorizo ¿Cuándo empiezo a pagar el nuevo importe?
77,Un sujeto recategorizado ¿En qué momento se empieza a pagar el importe de la nueva categoría?
77,"Una vez efectuada la recategorización, ¿En qué momento se comienza a pagar el importe de la nueva categoría?"
