IUCA,Texto Respuesta AFIP
105,"No podrá adherirse al monotributo ya que no desarrolla ninguna de las actividades comprendidas en el art. 2 de la Ley 26.565, por la cual se considera pequeño contribuyente a las personas físicas que realicen venta de cosas muebles, locaciones y/o prestaciones de servicios, o integren cooperativas de trabajo.
En lo expuesto precedentemente no se encuentra contemplada la cesión de derechos de propiedad intelectual.

Fuente: CIT AFIP"
106,"Para determinar la cantidad de unidades de explotación a los efectos de la exclusión o no del Monotributo, resulta relevante la integridad que las partidas conforman entre si, es decir, que las mismas se encuentren dispuestas en forma contigua y a su vez representen para el locador una sola fuente de producción de ingresos.

En conclusión, cuando las parcelas integran un todo, de modo tal que las mismas puedan ser entendidas como una sola fuente de ingresos, esto es, que además de tratarse de parcelas contiguas, son alquiladas a un mismo locatario no pudiéndose identificar el valor del alquiler de cada una de ellas, según el respectivo contrato, cabe considerar a los efectos de la exclusión del Régimen Simplificado, que las tales partidas inmobiliarias rurales alquiladas constituyen una unidad de explotación.


Fuente: Asesor Impositivo"
107,"Para generar las declaraciones juradas del Impuesto sobre los Bienes Personales correspondientes al período 2016 y anteriores, se deberá tener en cuenta el ID 7162480.
Para el período fiscal 2017 y siguientes, las declaraciones juradas - determinativas e informativas - se deben confeccionar a través del servicio con clave fiscal ""Bienes Personales Web"".
Para obtener mayor información sobre el mencionado se podrá ingresar en www.afip.gob.ar/gananciasybienes.
ACLARACIÓN: Para las presentaciones de los períodos 2006 y anteriores se deberá utilizar el aplicativo ""Bienes personales versión 6.0 release 2"", mientras que para los periodos 2007 y siguientes se deberá de utilizar la versión vigente del aplicativo ""Ganancias Personas física y bienes personales"".
Se podrá acceder a una guía paso a paso para confeccionar la declaración jurada a través del servicio Bienes Personales Web, ingrese aquí.
Asimismo para la guía paso a paso para la presentación de dicha declaración mediante el aplicativo unificado ingrese aquí.

Fuente: Arts. 1 y 2 RG 4052/17"
108,"El procedimiento para determinar la cantidad de fuentes de ingresos, es sumar en primer lugar las unidades de explotación y posteriormente las actividades económicas desarrolladas, en la medida que por estas últimas no se posean unidades de explotación. Consecuentemente, se trata de dos unidades de explotación (o dos locales o establecimientos), esto es, dos fuentes de ingresos, razón por la cual el contribuyente no quedará excluido del monotributo por la causal en cuestión.

Fuente: Art. 27 Decreto 1/10"
109,"El monotributista deberá presentar la declaración jurada del impuesto a las ganancias, cuando:
a) La adhesión al monotributo se produzca con posterioridad al inicio del año calendario, en la medida que se hayan desarrollado actividades sujetas al impuesto a las ganancias con anterioridad a la fecha de adhesión al régimen, o
b) deban continuar cumpliendo sus obligaciones de determinación y/o ingreso del impuesto, respecto de actividades no incluidas en el Monotributo, con independencia de su adhesión al mismo.
Asimismo, la presentación de las declaraciones juradas correspondientes, deberá realizarse mediante el servicio con clave fiscal ""Ganancias Personas Humanas"" incluyendo -de corresponder- los ingresos exentos o no alcanzados por el impuesto, de acuerdo al cronograma de vencimientos que oportunamente establezca el organismo.
En ambos casos, la declaración jurada del impuesto a las ganancias, será generada a través del servicio con clave fiscal ""Ganancias Personas Humanas"", debiendo incluir dentro de las rentas exentas, aquellas obtenidas en régimen de Monotributo.

Fuente: Art. 74 RG 4309/18"
110,"En caso de cumplir con los requisitos para adherir al Monotributo, se podrá cambiar de régimen en cualquier momento.
Asimismo, en virtud de lo establecido en los Artículos 19 y 21 de la Ley 26.565, en caso de haber adquirido el carácter de Responsable Inscripto con motivo de baja en Monotributo por Renuncia o Exclusión, deberán cumplirse 3 años calendario para reingresar al Monotributo.

Fuente: CIT AFIP"
111,"Transcurridos seis meses desde el inicio de actividades, deben anualizarse los ingresos brutos y energía eléctrica consumida, a efectos de confirmar la categorización, determinar la recategorización o exclusión del régimen. Cuando de la proyección anual surja que el sujeto queda excluido del régimen, por haberse superado los límites máximos aplicables conforme la actividad que desarrolla y de acuerdo con la cantidad de empleados en relación de dependencia que posea, el pequeño contribuyente permanecerá dentro del Monotributo, debiendo encuadrarse - hasta la próxima recategorización semestral-, en la última categoría que corresponda a la actividad que desarrolla.

Transcurrido dicho período, ante las causales de exclusión, deberá tener en cuenta lo establecido en el Artículo 20 de la Ley 26.565.

Fuente: Art. 15 Decreto 1/10"
112,"En la medida que la actividad encuadrada en el Monotributo cumpla con los requisitos para optar por el régimen, puede mantener la inscripción en el mismo.

Por otra parte, ante la situación planteada, podrá mantener su inscripción en el Régimen General por la actividad exenta en IVA - tributando Impuesto a las Ganancias por las rentas obtenidas - , no obstante lo cual deberá considerar la totalidad de los ingresos brutos obtenidos a los efectos de su categorización en el Monotributo así como su consideración para la determinación de la exclusión en el citado régimen, a excepción de los indicados en el párrafo siguiente.

Cuando los ingresos obtenidos por la actividad del Régimen General - exenta en IVA - estén originados en el ejercicio de la dirección, administración, conducción de sociedades no comprendidas en el Monotributo, no deberán computarse a los fines de su categorización, recategorización o exclusión en el mencionado Monotributo. A modo de aclaración, se mencionan las actividades exentas cuyos ingresos brutos no resultan computables:
- Director de SA.
- Socio Gerente de SRL.

Fuente: CIT AFIP"
113,"El propietario no puede adherir al Monotributo por tal renta presunta, ya que dicha actividad no constituye una unidad de explotación y/o actividad económica a los fines del Régimen Simplificado.

Fuente: Art. 17 Decreto 1/10"
114,"Para solicitar la inscripción, se deberán tener en cuenta los siguientes pasos:
1 - Solicitar CUIT del condominio para ser informada al momento de la adhesión de los condóminos: Ver ID 126318.
2 - Solicitar CUIT de los condóminos: Ver ID 17561182.
3 - Cada condómino deberá realizar la adhesión desde el portal del Monotributo: Ver ID 11867559.
Es requisito para ejercer la opción, que todos los condóminos a los que resulten atribuibles los ingresos provenientes de la actividad de locación de cosas muebles o inmuebles en condominio, adhieran en forma individual al Monotributo por todas las locaciones del mismo condominio.

Fuente: AFIP"
115,"Los condominios no pueden adherirse al Monotributo desde el 01/06/2018.
No obstante, cada condómino podrá adherir en forma individual al Monotributo en la medida que cumplan con las condiciones previstas para la adhesión, categorización y permanencia en el mismo, considerando la parte que le corresponda sobre los parámetros que resulten aplicables.
Al momento de adhesión se deberá informar el porcentaje atribuible de participación en el condominio, junto a los datos identificatorios que permitan individualizar a este último y a los restantes condóminos integrantes del mismo. A tal efecto, deberá solicitarse previamente la CUIT del condominio para su información al momento de la adhesión de los condóminos.
Es requisito, que todos los condóminos a los que resulten atribuibles los ingresos provenientes de la actividad de locación de cosas muebles o inmuebles en condominio, adhieran en forma individual al Régimen por todas las locaciones del mismo condominio.
Para mayor información sobre los pasos para la inscripción, se puede ingresar al ID 17563231

Fuente: Art. 2 Anexo Ley 24.977, Art. 5 Dto. 1/10 y Arts. 5 y 7 RG 4309/18"
116,"Se encuentran exceptuados de cumplir la obligación por medio de las modalidades de pago por transferencia electrónica de fondos, débito y/ó pago electrónico, los pequeños contribuyentes inscriptos en el Registro Nacional de Efectores de Desarrollo Local y Economía Social del Ministerio de Desarrollo Social, los asociados a cooperativas de trabajo y los adheridos al Régimen de Inclusión Social y Promoción del Trabajo Independiente.

Se podrá conocer el formulario a utilizar ingresando aquí.

Fuente: Art. 36 RG 4309/18"
117,"Se podrá abonar en efectivo, en entidades bancarias o lugares habilitados para el pago, mediante el formulario que para cada caso se detalla a continuación:

- Pequeños contribuyentes inscriptos en el Registro Nacional de Efectores de Desarrollo Local y Economía Social del Ministerio de Desarrollo Social, mediante F. 152
- Adheridos al Régimen de Inclusión Social y Promoción del Trabajo Independiente, mediante F. 157
- Asociados a cooperativas de trabajo, mediante F. 152 ó F. 157 de estar adheridos al Régimen de Inclusión Social y Promoción del Trabajo Independiente.

Se podrán conocer las entidades habilitadas, ingresando aquí.

Fuente: Arts. 8 y 36 RG 4309/18"
118,"Cuando se trate de inicio de actividades los responsables estarán obligados a efectuar el primer pago mensual a partir del mes de adhesión. Dicha adhesión surtirá efectos a partir del día en que se realice la misma.

Se aclara que el pago correspondiente al mes de inicio de actividades podrá efectuarse hasta el último día de ese mes.

Fuente: Arts. 6 y 35 RG 4309/18"
119,"En caso de corresponder el ingreso de diferencias de monotributo, se deberá generar un VEP, por cada concepto y período, a través del servicio con clave fiscal ""Presentación de DDJJ y Pagos"", para ello deberá efectuar los siguientes pasos:

Capital:
1. Seleccionar la CUIT del contribuyente que desea abonar.
2. Organismo Recaudador: seleccionar ""AFIP"".
3. Grupos de tipos de pagos: seleccionar ""MONOTRIBUTO"".
4. Tipo de pago: seleccionar ""MONOTRIBUTO ¿ PAGO AJUSTES"".
5. Podrá seleccionar los siguientes impuestos: MONOTRIBUTO (20) o MONOTRIBUTO AUTÓNOMO (21), OBRA SOCIAL (24), CONCEPTO: OBLIGACION MENSUAL/ANUAL (19), SUBCONCEPTO: AJUSTES (78).

Intereses:
1. Seleccionar la CUIT del contribuyente que desea abonar.
2. Organismo Recaudador: seleccionar ""AFIP"".
3. Grupos de tipos de pagos: seleccionar ""MONOTRIBUTO"".
4. Tipo de pago: seleccionar ""MONOTRIBUTO ¿ PAGO AJUSTES"".
5. Podrá seleccionar los siguientes impuestos: MONOTRIBUTO (20) o MONOTRIBUTO AUTÓNOMO (21), OBRA SOCIAL (24), CONCEPTO: OBLIGACION MENSUAL/ANUAL (19), SUBCONCEPTO: INTERESES RESARCITORIOS (51).

En caso de realizar el pago de los intereses en una entidad de cobro habilitada mediante la utilización de tarjeta de débito, en reemplazo del VEP, se deberá utilizar el F. 155 que podrá obtener ingresando aquí.

Para los períodos que operaron entre los meses 07/2004 y 04/2010 inclusive, la fecha de vencimiento para el pago de las obligaciones correspondientes al Monotributo, era el día 7 de cada mes, a partir del periodo 05/2010 la fecha de vencimiento opera el día 20 de cada mes.

Para conocer como abonar períodos entre 04/2000 y 06/2004, podrá acceder al ID 476272.

Fuente: AFIP"
120,"Para cancelar los intereses generados por abonar la obligación mensual fuera de término, se deberá confeccionar un volante electrónico de pagos (VEP), el que podrá generarse:

- Ingresando al servicio con clave fiscal ""Presentación de DDJJ y Pagos"" donde se podrá generar un VEP para cada obligación. Se podrá conocer el procedimiento ingresando aquí.

- Mediante el servicio con clave fiscal ""CCMA - Cuenta Corriente para Monotributistas y Autónomos"". Se podrá conocer el procedimiento ingresando aquí.

- Accediendo con CUIT y clave fiscal al portal web mediante la opción ""Ver saldo/Pagar"" del menú ""Estado de cuenta"".

Luego de generado el VEP, se deberá optar por alguno de los siguientes métodos para su cancelación:

- Transferencia electrónica de fondos (por ejemplo homebanking, pagomiscuentas, etc.)

- Tarjetas de crédito.

- Cualquier otro medio de pago electrónico admitido o regulado por el BCRA e implementado por esta Administración Federal, se pondrán conocer los mismos ingresando aquí.

ACLARACIÓN: En caso de realizar el pago en una entidad de cobro habilitada mediante la utilización de tarjeta de débito, en lugar de VEP, se deberá utilizar el F. 155.

Se podrán conocer los montos a ingresar para cada categoría ingresando aquí.

Fuente: Art. 42 RG 4309/18 y Art. 6 RG 4084/17"
121,"Los sujetos que adhieran al Régimen Simplificado (RS) cumplirán la obligación de pago mensual, hasta el día 20 del respectivo mes, excepto cuando se trate de inicio de actividades, en cuyo caso el pago correspondiente al mes de inicio de actividades podrá efectuarse hasta el último día de ese mes.

Las fechas a que se refiere el párrafo anterior también serán de aplicación en el caso de sujetos adheridos al Régimen de Inclusión Social y Promoción del Trabajo Independiente, quienes deberán ingresar, hasta el día 20 de cada mes, un importe equivalente al 5% del monto total de las operaciones facturadas durante el mes anterior, a cuenta de los aportes previstos en el inciso a) del artículo 39 del ""Anexo"" con destino al Sistema Integrado Previsional Argentino (SIPA).

Cuando la fecha de vencimiento indicada en los párrafos anteriores coincida con día feriado o inhábil, la misma se trasladará al día hábil inmediato siguiente.

Fuente: Arts. 35 y 44 RG 4309/18"
122,"Los contribuyentes inscriptos en el monotributo deberán cumplir con las obligaciones de pago mensual mediante alguna de las modalidades que se indican a continuación:

a) Transferencia electrónica de fondos (VEP), de acuerdo con el procedimiento dispuesto por la RG 1778/04. Se podrá conocer el procedimiento para la generación del VEP ingresando aquí.

b) Débito automático mediante la utilización de tarjeta de crédito, conforme al procedimiento establecido por la RG 1644/04.

c) Débito en cuenta a través de cajeros automáticos, observando las previsiones de la RG 1206/02.

d) Débito directo en cuenta bancaria, el que podrá gestionarse a través del portal ""web"", opción ""Pagos"", o bien solicitando la adhesión al servicio en la entidad bancaria en la cual se encuentre radicada la cuenta.

En caso de gestionar el débito mediante el portal ""web"", previamente se deberá declarar en el servicio ""Declaración de CBU"" la Clave Bancaria Uniforme (CBU) de la cuenta corriente o de la caja de ahorro desde la que se debitarán los importes correspondientes. Para mayor información ingrese aquí.

e) Pago electrónico mediante la utilización de Tarjetas de Crédito y/o Débito.

f) Cualquier otro medio de pago electrónico admitido o regulado por el Banco Central de la República Argentina e implementado por esta Administración Federal.

Las adhesiones al débito directo solicitadas hasta el día 20 de cada mes, tendrán efecto a partir del mes inmediato siguiente.

Asimismo podrán solicitar -sin costo- la apertura de una ""Caja de Ahorro Fiscal"" en cualquier sucursal o en la casa central del Banco de la Nación Argentina, conforme lo prevé la RG 1822/05.

Los sujetos mencionados en el primer párrafo quedan obligados a efectuar los pagos del resto de sus obligaciones impositivas, aduaneras y de los recursos de la seguridad social, mediante transferencia electrónica de fondos. No resultará aplicable a aquellas obligaciones por las cuales se haya optado por el inciso b) - débito automático mediante la utilización de tarjeta de crédito-, para su cancelación.

Se podrá acceder a más información ingresando aquí.



Fuente: Arts. 1, 2 y 3 RG 3936/16 y Art. 36 RG 4309/18"
123,"La adhesión deberá gestionarse ingresando con clave fiscal a través del Portal de Monotributo, opción ""Pagos"".

Previamente deberá declarar en el servicio ""Declaración de CBU"" la Clave Bancaria Uniforme (CBU) de la cuenta corriente o de la caja de ahorro desde la que se debitarán los importes correspondientes. Podrá acceder a la guía paso a paso de ""Declaración de CBU"" ingresando aquí.

Asimismo, podrá solicitarse la adhesión al servicio directamente en la entidad bancaria en la cual se encuentre radicada la cuenta.

Para mayor información ingrese aquí.

Fuente: Art. 36 RG 4309/18"
124,"La adhesión podrá gestionarse telefónicamente ante la administradora de la tarjeta, según corresponda, a los números que se detallan a continuación:

· Argencard - Mastercard - (011) 4340-5665
· Cabal - (011) 4319-2550
· Visa - (011) 4378-4499

Asimismo, podrá solicitarse el servicio del débito automático a través del sitio web de VISA o Mastercard.

Para mayor información ingresar aquí.

Fuente: AFIP"
125,"Si, el pago realizado fuera de término genera intereses.

Podrá consultar el importe de los mismos ingresando con su clave fiscal al servicio CCMA -Cuenta Corriente para Contribuyentes Monotributistas y Autónomos-


O podrá calcular manualmente los mismos utilizando la calculadora de intereses. Podrá ingresar haciendo click aquí.




Fuente: CIT AFIP"
126,"Para conocer el listado de entidades bancarias habilitadas al cobro de VEP, ingresar aquí.


Fuente: CIT AFIP"
127,"Se podrá efectuar el pago de cargas sociales a través de la generación de VEP o mediante la ""Billetera Electrónica AFIP"".
Para consultar los bancos que operan con Volante Electrónico de Pagos (VEP), Haga clic aquí.
Para consultar la guía paso a paso de cómo acreditar fondos en la Billetera Electrónica AFIP, ingrese aquí.
También puede consultar el ID 23441814 para verificar como cancelar las obligaciones desde la Billetera Electrónica AFIP.

Fuente: Art. 38 Anexo Ley 24.977, Art. 2 RG 1778/04 y Art. 3 RG 4335/18"
128,"Deberá haber cumplido en tiempo y forma con el ingreso del impuesto integrado y, en su caso, de las cotizaciones previsionales, correspondientes a los 12 meses calendario, así como con las obligaciones formales y materiales pertinentes.

Cuando se trate de inicio de actividad o de un período calendario irregular, el reintegro citado en el párrafo anterior procederá en un 50%, siempre que la cantidad de cuotas ingresadas en tiempo y forma fueran entre 6 y 11, ambas inclusive.

El reintegro se efectuará durante el mes de marzo de cada año calendario y se otorgará únicamente a los que hayan efectuado sus pagos mediante las siguientes modalidades:
a) Débito directo en cuenta bancaria.
b) Débito automático mediante la utilización de tarjeta de crédito.

A dichos efectos, el importe correspondiente al reintegro será efectuado automáticamente mediante acreditación en la cuenta adherida al servicio o en la correspondiente a la tarjeta de crédito respectiva.

Fuente: Art. 43 RG 4309/18 y Art. 31 Decreto 1/10"
129,"El pequeño contribuyente queda obligado a ingresar el total de las cotizaciones con destino a la Seguridad Social que correspondan a su Código Único de Revista (CUR), no pudiendo fraccionarlas.

Fuente: Art. 38 RG 4309/18"
130,"El impuesto deberá ser ingresado hasta el mes en que el contribuyente renuncie al régimen o, en su caso, hasta el cese definitivo de actividades.

Fuente: Art. 7 Anexo Ley 24.977"
131,"Los asociados a Cooperativas de Trabajo, abonarán solamente las cotizaciones previsionales y se encuentran exentos de ingresar suma alguna por el impuesto integrado, excepto que superen la suma de $ 138.127,99 anuales de ingresos brutos. En ese caso deberán pagar también el impuesto integrado que corresponda, de acuerdo con la categoría en que deban encuadrarse.

Fuente: Art. 47 Anexo Ley 24.977"
132,"Si la cooperativa de trabajo se encuentra inscripta en el Registro Nacional de Efectores de Desarrollo Local y Economía Social y el asociado tiene ingresos brutos anuales de hasta $ 138.127,99, estará exento de ingresar el impuesto integrado y el aporte previsional con destino al SIPA. Los aportes con destino al Sistema de Salud los ingresará con una disminución del 50%.

Fuente: Art. 47 Anexo Ley 24.977 y Art. 2 RG 3866/16"
133,"Las cotizaciones correspondientes a los meses faltantes o su fracción podrán ser ingresadas hasta el 20 de enero, inclusive, inmediato siguiente al de la finalización de cada año calendario.

El pago podrá efectuarse presentando el formulario F. 155, cubierto en todas sus partes. Los códigos que se deberán utilizar son:

Rubro I - Imputación del pago: 021
Rubro II - Concepto: 019
Rubro III - Subconcepto: 078

Asimismo, se deberá consignar como período 12 y el año correspondiente. Por ejemplo, para el año 2015 se deberá colocar como período 12/2015.

Fuente: Art. 45 RG 4309/18"
134,"Para imprimir la credencial de pago deberá acceder desde el portal Monotributo, de la siguiente forma:
1. Presione el botón ""Comenzar"".
2. Ingrese con CUIT y clave fiscal.
3. Seleccione el ítem ""Ver Constancia"".
4. Presione el botón ""Ver Credencial"" correspondiente a la Credencial de pago. La misma será descargada en formato PDF.

Para realizar poder efectuar los pasos indicados deberá contar como mínimo con ""Clave Fiscal"" habilitada con Nivel de Seguridad 2.

Fuente: CIT AFIP"
135,"Se podrá regularizar la deuda abonándola mediante volante electrónico de pagos (VEP), el cual puede ser generado siguiendo alguno de los procedimientos que se detallan a continuación:

- Ingresando al servicio con clave fiscal ""Presentación de DDJJ y Pagos"" donde se podrá generar un VEP para cada obligación. Se podrá conocer el procedimiento ingresando aquí.
- Mediante el servicio con clave fiscal ""CCMA - Cuenta Corriente para Monotributistas y Autónomos"". Se podrá conocer el procedimiento ingresando aquí.
- Accediendo con CUIT y clave fiscal al portal web mediante la opción ""Ver saldo/Pagar"" del menú ""Estado de cuenta"".

También se podrá ingresar la deuda en un plan de facilidades de pago. Se podrá conocer el procedimiento para ingresar la deuda en un plan de pagos ingresando aquí.

Fuente: AFIP"
136,"Para efectuar la reimputación en línea de saldos a favor (saldo acreedor) o pagos realizados erróneamente a períodos con saldos impagos (saldo deudor) deberá ingresar a través del servicio con clave fiscal ""CCMA - Cuenta Corriente de Monotributistas y Autónomos"".

Para conocer cómo utilizar el servicio, así como el procedimiento para reafectar aquellos pagos imputados erróneamente, ingrese aquí o bien, acceda a la ayuda en línea dentro del mismo (margen superior derecho).

Consideraciones
· El importe a reafectar mantendrá el valor de la fecha del pago original.
· Cuando en un período existan importes adeudados en concepto de capital e intereses, el sistema no permitirá imputar la reafectación a intereses mientras exista un saldo remanente de capital.
· A efectos de evitar generar saldos a favor innecesarios, en un período, es conveniente aplicar el importe excedente a reafectar en el siguiente orden:

1°) Capital adeudado (concepto 019). El sistema efectuará el recálculo de la deuda y de corresponder actualizará el monto correspondiente a los intereses.
2°) Intereses resarcitorios adeudados (concepto 051).
3°) Intereses capitalizables adeudados, en caso de corresponder (concepto 052).

· Cuando el destino de la reafectación se encuentre totalmente cancelado, el sistema no permitirá efectuar la transacción.
· Las reafectaciones que deseen realizarse para períodos anteriores al 07/2004, se efectuarán mediante la presentación del Formulario 399 y/o Formulario 206 (Multinota) establecido por la RG 1128/01, en la dependencia en la cual se encuentre inscripto.
· Aquellos contribuyentes que iniciaron un trámite ante la ANSES

Mediante el servicio con clave fiscal SICAM o hubieran adherido al Régimen de Regularización de Deudas Ley 24.476 o Ley 26.970, podrán efectuar las reafectaciones de pagos siempre que el período de origen y destino sean iguales o superiores a la fecha de inicio del trámite para contribuyentes con trámite iniciado ó el período de origen y destino sean iguales o superiores a 07/2004 para el caso de contribuyentes sin trámite iniciado que hubieran adherido a algunos de los planes mencionados (vigentes o cancelados).

IMPORTANTE
Para la reimputación del código de impuesto ""024 - Obra social"" deberá dirigirse a la dependencia de AFIP en la cual se encuentra inscripto, con el fin de que le indiquen el procedimiento a seguir.

Fuente: CIT AFIP"
137,"Figura en los períodos mensuales iniciados a partir del 1 de julio del 2004.

Fuente: Art. 2 RG 1996/06"
138,"El importe a favor de AFIP correspondiente a obligaciones devengadas y/o multas firmes, se considerarán conocidos por el contribuyente y habilitará al Organismo a exigir el pago.

Fuente: Art. 2 RG 1996/06"
139,"Dentro del servicio CCMA, se podrá:

- Visualizar y conocer la información relativa a sus obligaciones, sus pagos, intereses y saldos, todos ellos ordenados por períodos y conceptos.
- Corregir la incorrecta imputación de los pagos registrados en el sistema, cuando hayan sido abonados en forma errónea, a fin de cancelar (Total o parcialmente) obligaciones adeudadas que surjan de dicho sistema.
- Calcular sus obligaciones adeudadas (Capital e intereses) a una fecha determinada.
- Generar los volantes de pago, manuales y/o electrónicos (VEP), para la cancelación de las obligaciones adeudadas.
Para ver la guía paso a paso de como utilizar el servicio ingrese aquí.

Fuente: CIT AFIP"
140,"Las discrepancias con relación a la información que muestre el sistema, podrán ser planteadas desde dicho sistema o ante la dependencia de AFIP que corresponda.

En este último supuesto se deberá presentar una multinota (F. 206/M) acompañada de los elementos que respaldan la corrección que se solicita.

Fuente: Art. 6 RG 1996/06"
141,"Si, los beneficios previsionales establecidos en la Ley 25.321, aplicados a través del servicio SICAM, se verán reflejados en la Cuenta Corriente.

Fuente: CIT AFIP"
142,"Podrán optar por emitir comprobantes a través de controlador fiscal, o factura electrónica, o por ambos medios, los siguientes sujetos:
- Responsables inscriptos en el IVA

- Monotributistas

- Exentos en el IVA.
Continuarán con la emisión de comprobantes manuales, los monotributistas efectores sociales y los incluidos Régimen de Inclusión Social y Promoción del Trabajo Independiente, y los IVA no alcanzados. No obstante, podrán optar por emitir electrónicamente sus comprobantes.

Fuente: Art. 6 RG 4290/18"
143,"Se encuentran obligados a emitir comprobantes manuales:
a) Los monotributistas que permanezcan en el Régimen de Inclusión Social y Promoción del Trabajo Independiente o se encuentren inscriptos en el Registro Nacional de Efectores de Desarrollo Local y Economía Social del Ministerio de Desarrollo Social.

b) Los sujetos no alcanzados por el IVA

No obstante, los mencionados sujetos podrán optar por emitir comprobantes electrónicos originales.

Fuente: Arts. 12 y 13 RG 4290/18"
144,"Se deberá exhibir el Formulario 960/D - Data Fiscal, por las operaciones de venta de bienes muebles o locaciones o prestaciones de servicios realizadas con consumidores finales, en los locales de venta, locación o prestación de servicios (incluyendo lugares descubiertos), salas de espera, oficinas o áreas de recepción y demás ámbitos similares.
El Formulario Nº 960/D - ""Data Fiscal"", tendrá impresos los datos identificatorios del sujeto obligado a exhibirlo, las formas de pago aceptadas en el establecimiento y un código de respuesta rápida (QR).

Fuente: Arts. 24 y 25 RG 1415/03"
145,"*Comprobantes tipo ""C"" (excepto que se emitan Ticket)
*Remitos tipo R
*Comprobantes tipo ""E"" (por operaciones de exportación)
Fuente: Art. 16 RG 1415/03"
146,"Los sujetos que emiten sus comprobantes a través de Controlador Fiscal, ante eventuales inconvenientes en su funcionamiento o contingencias que impidan su utilización, deberán optar por emitir los comprobantes que respalden sus operaciones mediante las siguientes modalidades:
a) Factura Electrónica
b) CAEA
c) Manual (talonario) / Autoimpresor
Fuente: Art. 15 RG 4290/18"
147,"Los comprobantes de exportación emitidos por monotributistas deben contener la letra ""E"".
Fuente: Art. 17 RG 1415/03"
148,"Los comprobantes clases ""A"", ""A"" con leyenda ""Pago en CBU informada"", ""B"", ""E"", ""M"" o ""C"" deberán contener código de barras.

Fuente: Art. 1 RG 1702/04"
149,"Los monotributistas no se encuentran obligados a realizar registraciones de sus comprobantes emitidos y/o recibidos. Ello no obsta el cumplimiento que en materia de registración y respecto de otros aspectos de naturaleza tributaria, civil, comercial, contable, profesional, etc., establezcan otras disposiciones legales, reglamentarias o complementarias para cada actividad, operación o sujeto.

Fuente: Art. 7 RG 1415/03"
150,"Deberá conservar los comprobantes y documentos que acrediten las operaciones vinculadas a su actividad, por un término de hasta 5 años después de operada la prescripción del período fiscal a que se refiere.


Fuente: Art. 48 Decreto 1397/79"
151,"Los remitos deberán contener la letra ""R"".
Cuando utilicen remitos para respaldar el traslado y/o entrega de productos dentro de un mismo predio, polo o parque industrial, dichos documentos estarán identificados con la letra ""X"".
Serán considerados válidos los remitos identificados con la letra ""X"" que se emitan mediante la utilización del equipamiento electrónico denominado ""Controlador Fiscal Vieja Tecnología"", siempre que los aludidos comprobantes revistan el carácter de ""Documento No Fiscal Homologado"" en los términos de la RG 3561/13.

Fuente: Art. 28 RG 1415/03 y Arts.1 y 2 RG 4053/17"
152,"Se encuentran exceptuados de emitir comprobantes electrónicos, los sujetos adheridos al Régimen Simplificado para Pequeños Contribuyentes (RS) que permanezcan en el Régimen de Inclusión Social y Promoción del Trabajo Independiente o aquellos inscriptos en el Registro Nacional de Efectores de Desarrollo Local y Economía Social del Ministerio de Desarrollo Social.

Fuente: Art. 6 RG 4290/18"
153,"Están alcanzados los comprobantes que se detallan a continuación:
a) Facturas clase ""C"".
b) Notas de crédito y notas de débito clase ""C"".
c) Recibos clase ""C"".
NOTA: Quedan exceptuados las facturas o documentos clase ""C"" que respalden operaciones con consumidores finales emitidos hasta el 31/03/2019, inclusive. A partir del 01/04/2019, todos los comprobantes quedarán alcanzados por la obligación de emisión electrónica.

Fuente: Art. 29 RG 4290/18"
154,"Quedan exceptuados las facturas o documentos clase ""C"" que respalden operaciones con consumidores finales emitidos hasta el 31/03/2019, inclusive. A partir del 01/04/2019, todos los comprobantes quedarán alcanzados por la obligación de emisión electrónica.

Fuente: Art. 29 RG 4290/18"
155,"Deberán emitir facturas clase ""C"" con la leyenda ""MONOTRIBUTO TRABAJADOR INDEPENDIENTE PROMOVIDO"".

Fuente: Art.16 y Anexo II RG 1415/03"
156,"Deberán emitir facturas clase ""C"" con la leyenda ""MONOTRIBUTISTA SOCIAL"".

Fuente: Art. 16 y Anexo II RG 1415/03"
157,"Los contribuyentes que no exhiban la documentación correspondiente serán sancionados con clausura de 1 a 5 días.

Fuente: Art. 25 Ley 26.565"
158,"Serán sancionados con clausura de 1 a 5 días, los Monotributistas, cuando sus operaciones no se encuentren respaldadas por las respectivas facturas o documentos equivalentes por las compras, locaciones o prestaciones aplicadas a la actividad.

Fuente: Art. 26 Ley 26.565"
159,"Serán sancionados con clausura de 1 a 5 días, los pequeños contribuyentes adheridos al Monotributo, cuando sus operaciones no se encuentren respaldadas por las respectivas facturas o documentos equivalentes por las compras, locaciones o prestaciones aplicadas a la actividad.

Fuente: Art. 26 Anexo Ley 24.977"
